titles,author,number_of_reviews,number_of_ratings,average_rating,number_of_pages,first_published,series,genres,url,cover_url,length,rating_range
State of Mind 2.0: 11 Lessons of the Most Productive People on the Planet,Christopher A. Pinckley,1,20,9.0,206,2016,False,"['Business', 'Psychology']",https://www.goodreads.com/book/show/28870945-state-of-mind-2-0,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1454428564l/28870945._SX318_.jpg,medium,very good
"Targeting Success, Develop the Right Business Attitude to be Successful in the Workplace",Lorii Myers,19,100,8.3,244,2011,True,"['Business', 'Self Help', 'Leadership']",https://www.goodreads.com/book/show/12964250-targeting-success-develop-the-right-business-attitude-to-be-successful,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1319668286l/12964250.jpg,medium,very good
Principles: Life and Work,Ray Dalio,2623,44803,8.1,592,2011,False,"['Business', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/34536488-principles,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1503365703l/34536488._SX318_.jpg,long,very good
If Harry Potter Ran General Electric: Leadership Wisdom from the World of the Wizards,Tom Morris,20,295,7.9,252,2006,False,"['Business', 'Nonfiction', 'Leadership']",https://www.goodreads.com/book/show/47524.If_Harry_Potter_Ran_General_Electric,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388642529l/47524.jpg,medium,good
Marketing in the Age of Google: Your Online Strategy Is Your Business Strategy,Vanessa Fox,28,382,7.9,242,2010,False,"['Business', 'Nonfiction', 'Business > Google']",https://www.goodreads.com/book/show/7714891-marketing-in-the-age-of-google,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348647837l/7714891.jpg,medium,good
The Economic Way of Thinking,Paul T. Heyne,18,178,8.3,558,1973,False,"['Economics', 'Nonfiction', 'Business']",https://www.goodreads.com/book/show/1051837.The_Economic_Way_of_Thinking,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387705170l/1051837.jpg,long,very good
"Business, Balance and Bliss: How the B3 Method Can Transform Your Career and Life",Amy Vetter,1,7,8.6,136,2017,False,Business,https://www.goodreads.com/book/show/35277219-business-balance-and-bliss,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1496286254l/35277219._SY475_.jpg,short,very good
The Personal MBA: Master the Art of Business,Josh Kaufman,1120,33943,8.2,416,2010,False,"['Business', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/9512985-the-personal-mba,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348014445l/9512985.jpg,long,very good
The Lords of Strategy: The Secret Intellectual History of the New Corporate World,Walter Kiechel III,124,2281,7.9,368,2009,False,"['Business', 'History', 'Nonfiction']",https://www.goodreads.com/book/show/6214316-the-lords-of-strategy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328756626l/6214316.jpg,medium,good
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,16314,534918,7.9,277,2005,False,"['Nonfiction', 'Psychology', 'Business']",https://www.goodreads.com/book/show/873537.Blink,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348218658l/873537.jpg,medium,good
The Game: Penetrating the Secret Society of Pickup Artists,Neil Strauss,2012,28458,7.4,464,2005,False,"['Nonfiction', 'Psychology', 'Self Help']",https://www.goodreads.com/book/show/900.The_Game,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410129471l/900.jpg,long,good
How To Deliver A Powerful Listing Presentation: Real Estate Agent Training Series,Tara Jacobsen,2,9,7.8,39,2014,False,['Business'],https://www.goodreads.com/book/show/20736053-how-to-deliver-a-powerful-listing-presentation,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391581614l/20736053.jpg,very short,good
Managing Humans: Biting and Humorous Tales of a Software Engineering Manager,Michael Lopp,274,3320,7.9,209,2007,False,"['Business > Management', 'Business', 'Leadership']",https://www.goodreads.com/book/show/1317946.Managing_Humans,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348842671l/1317946.jpg,medium,good
The Upside of Irrationality: The Unexpected Benefits of Defying Logic at Work and at Home,Dan Ariely,1056,34230,8.0,334,2010,False,"['Psychology', 'Nonfiction', 'Economics']",https://www.goodreads.com/book/show/7815744-the-upside-of-irrationality,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1268511997l/7815744.jpg,medium,very good
Rethinking The Iceberg Principle (Business Insights From The Bottom Up),Brian Daniel Young,0,5,8.8,54,2013,False,['Business'],https://www.goodreads.com/book/show/18753854-rethinking-the-iceberg-principle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383631136l/18753854.jpg,short,very good
"Strengths Based Leadership: Great Leaders, Teams, and Why People Follow: A Landmark Study of Great Leaders, Teams, and the Reasons Why We Follow",Tom Rath,384,12661,7.9,266,2007,False,"['Leadership', 'Business', 'Nonfiction']",https://www.goodreads.com/book/show/5973885-strengths-based-leadership,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1350959766l/5973885.jpg,medium,good
Advanced Sales Strategy: How To Craft Your Unique Selling Proposition USP,Tara Jacobsen,0,3,10.0,54,2014,False,['Business'],https://www.goodreads.com/book/show/21896860-advanced-sales-strategy,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397241032l/21896860.jpg,short,excellent
"Real Estate Marketing To A Farm: How To Find, Grow and Reap The Benefits of a Geographic Farm",Tara Jacobsen,0,9,8.4,240,2012,False,['Business'],https://www.goodreads.com/book/show/21894767-real-estate-marketing-to-a-farm,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1397170020l/21894767.jpg,medium,very good
Infusionsoft Strategy Guide: Taking Your Email Marketing to a Whole New Level,Tara Jacobsen,0,5,8.8,240,2012,False,['Business'],https://www.goodreads.com/book/show/21479131-infusionsoft-strategy-guide,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1395067580l/21479131.jpg,medium,very good
Sales and Marketing Success: Targeting Your Perfect Customer Who Will Buy & Buy,Rebekah Welch,0,9,8.4,240,2012,False,['Business'],https://www.goodreads.com/book/show/20891221-sales-and-marketing-success,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393516661l/20891221.jpg,medium,very good
Authority Marketing Manual: A Step By Step Guide For How To Turn Your Passion Into Profit,Rebekah Welch,1,5,10.0,240,2012,False,['Business'],https://www.goodreads.com/book/show/20891224-authority-marketing-manual,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393516613l/20891224.jpg,medium,excellent
"The Fifth Wave: A Strategic Vision for Mobile Internet Innovation, Investment and Return",Robert Marcus,4,48,8.2,224,2012,False,['Business'],https://www.goodreads.com/book/show/17384224-the-fifth-wave,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361213987l/17384224.jpg,medium,very good
Switch: How to Change Things When Change Is Hard,Chip Heath,3016,49365,8.0,320,2010,False,"['Nonfiction', 'Business', 'Psychology']",https://www.goodreads.com/book/show/6570502-switch,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422839688l/6570502.jpg,medium,very good
Building BIG Networks: How Making Connections Can Help Your Business,Tara Jacobsen,1,6,9.7,240,2012,False,['Business'],https://www.goodreads.com/book/show/20930603-building-big-networks,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393516277l/20930603.jpg,medium,very good
The Startup Owner's Manual: The Step-By-Step Guide for Building a Great Company,Steve Blank,133,12138,8.1,608,2012,False,"['Business', 'Business > Entrepreneurship', 'Nonfiction']",https://www.goodreads.com/book/show/13557008-the-startup-owner-s-manual,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1448890528l/13557008._SX318_.jpg,long,very good
Junkyard Planet: Travels in the Billion-Dollar Trash Trade,Adam Minter,256,1501,7.8,304,2013,False,"['Nonfiction', 'Environment', 'Business']",https://www.goodreads.com/book/show/17286721-junkyard-planet,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1364033233l/17286721.jpg,medium,good
Poised for Success: Mastering the Four Qualities That Distinguish Outstanding Professionals,Jacqueline Whitmore,5,61,7.4,192,2011,False,['Business'],https://www.goodreads.com/book/show/12809404-poised-for-success,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320385678l/12809404.jpg,short,good
How Google Works,Eric Schmidt,1428,26309,8.1,320,2014,False,"['Business', 'Nonfiction', 'Science > Technology']",https://www.goodreads.com/book/show/23263733-how-google-works,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411919793l/23263733.jpg,medium,very good
Seeing Differently: Insights on Innovation,John Seely Brown,2,28,7.9,245,1997,False,['Business'],https://www.goodreads.com/book/show/238130.Seeing_Differently,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1173009140l/238130.jpg,medium,good
"Simple Numbers, Straight Talk, Big Profits!: 4 Keys to Unlock Your Business Potential",Greg Crabtree,62,2431,7.9,177,2011,False,"['Business', 'Economics > Finance', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/12661583-simple-numbers-straight-talk-big-profits,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347366465l/12661583.jpg,short,good
The Five Temptations of a CEO: A Leadership Fable,Patrick Lencioni,218,5261,8.1,134,1998,False,"['Business', 'Leadership', 'Business > Management']",https://www.goodreads.com/book/show/49146.The_Five_Temptations_of_a_CEO,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387733166l/49146.jpg,short,very good
A Primal Wisdom: Nature's Unifcation of Cooperation and Competition,V. Frank Asaro,6,13,8.9,212,2014,False,Business,https://www.goodreads.com/book/show/29343496-a-primal-wisdom,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1456480694l/29343496._SY475_.jpg,medium,very good
17 Reasons Why Businesses Fail :Unscrew Yourself From Business Failure,Pooja Agnihotri,31,55,8.9,240,2021,False,['Business'],https://www.goodreads.com/book/show/56990341-17-reasons-why-businesses-fail,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1612778611l/56990341._SX318_.jpg,medium,very good
Intersection Inc.: Book on Entrepreneurship for Young Individuals.,Barkin Cavdaroglu,0,7,9.4,240,2018,False,"['Business', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/43324020-intersection-inc,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1545603875l/43324020._SY475_.jpg,medium,very good
31 Cents to 43 Countries: Hardcore Tips to Increasing Profits,Dina Preston-Ortiz,1,14,9.4,240,2020,False,Business,https://www.goodreads.com/book/show/54364478-31-cents-to-43-countries,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1593711358l/54364478._SY475_.jpg,medium,very good
Digital Transformation Is Not Digital,Juan Pablo Rozas,1,11,8.7,231,2020,False,Business,https://www.goodreads.com/book/show/56358991-digital-transformation-is-not-digital,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1608560125l/56358991._SX318_.jpg,medium,very good
A Guide To Inbound Marketing For Small Business,Izabela Cottle,1,5,9.6,240,2021,False,Business,https://www.goodreads.com/book/show/57119301-a-guide-to-inbound-marketing-for-small-business,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1613669426l/57119301._SY475_.jpg,medium,very good
IMPULSA TU PYME: Ideas claves para lograr el éxito de la pequeña y mediana empresa,Daniel Alvarez Noriega,1,11,9.3,240,2020,False,Business,https://www.goodreads.com/book/show/54882905-impulsa-tu-pyme,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1597163051l/54882905._SX318_.jpg,medium,very good
Decision Control,Stafford Beer,4,37,8.8,568,1966,False,"['Business', 'Science', 'Business > Management']",https://www.goodreads.com/book/show/472920.Decision_Control,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348834031l/472920.jpg,long,very good
"Online Business Startup: The entrepreneur's guide to launching a fast, lean and profitable online venture",Robin Waite,15,171,7.4,262,2015,False,"['Business', 'Economics > Finance', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/25377968-online-business-startup,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1429870154l/25377968.jpg,medium,good
"Lifestyle Entrepreneur: Live Your Dreams, Ignite Your Passions and Run Your Business From Anywhere in The World",Jesse Krieger,4,51,6.8,181,2014,False,"['Business', 'Nonfiction']",https://www.goodreads.com/book/show/22852052-lifestyle-entrepreneur,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1406953444l/22852052.jpg,short,good
99 Creative WOWs Words of Wisdom for Business,Randi Brill,10,25,9.4,119,2017,False,['Business'],https://www.goodreads.com/book/show/36642741-99-creative-wows-words-of-wisdom-for-business,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511373850l/36642741._SX318_.jpg,short,very good
Mindset: The New Psychology of Success,Carol S. Dweck,8565,114064,8.1,276,2006,False,"['Psychology', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/40745.Mindset,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1436227012l/40745._SY475_.jpg,medium,very good
The Caine Mutiny,Herman Wouk,1125,22861,8.5,537,1951,False,"['Fiction', 'Historical > Historical Fiction', 'Classics']",https://www.goodreads.com/book/show/368772.The_Caine_Mutiny,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1410224968l/368772.jpg,long,very good
The Popcorn Report,Faith Popcorn,8,184,7.4,288,1979,False,"['Business', 'Nonfiction', 'Culture > Society']",https://www.goodreads.com/book/show/205991.The_Popcorn_Report,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440676452l/205991._SY475_.jpg,medium,good
Never Split the Difference: Negotiating As If Your Life Depended On It,Chris Voss,6225,90833,8.7,274,2016,False,"['Business', 'Nonfiction', 'Psychology']",https://www.goodreads.com/book/show/26156469-never-split-the-difference,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460910517l/26156469.jpg,medium,very good
"The Bombshell Business Woman: How to Become a Bold, Brave, and Successful Female Entrepreneur",Amber Hurdle,3,13,9.5,240,2017,False,Business,https://www.goodreads.com/book/show/34438437-the-bombshell-business-woman,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1489108012l/34438437.jpg,medium,very good
In God We Trust: Morally Responsible Investing,George P. Schwartz,7,32,8.3,276,2019,False,['Economics > Finance'],https://www.goodreads.com/book/show/43309917-in-god-we-trust,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1547197476l/43309917.jpg,medium,very good
Think Like an Entrepreneur: The Mindset of Success,Jane Mara,0,1,10.0,118,2017,False,Business,https://www.goodreads.com/book/show/35792352-think-like-an-entrepreneur,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1500911191l/35792352.jpg,short,excellent
Bright-Sided: How the Relentless Promotion of Positive Thinking Has Undermined America,Barbara Ehrenreich,1452,9079,7.5,206,2009,False,"['Nonfiction', 'Psychology', 'Sociology']",https://www.goodreads.com/book/show/6452749-bright-sided,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1437252706l/6452749._SY475_.jpg,medium,good
Pirates of Financial Freedom,Joey Fehrman,6,21,8.7,204,2014,False,"['Economics > Finance', 'Finance > Personal Finance', 'Nonfiction']",https://www.goodreads.com/book/show/22915011-pirates-of-financial-freedom,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1407994604l/22915011.jpg,medium,very good
"Now, Discover Your Strengths: The revolutionary Gallup program that shows you how to develop your unique talents and strengths",Marcus Buckingham,671,27001,7.9,320,2001,False,"['Business', 'Nonfiction', 'Self Help']",https://www.goodreads.com/book/show/56452.Now_Discover_Your_Strengths,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575812755l/56452.jpg,medium,good
Big Things Have Small Beginnings: Learn to Play in the Great Game,Wes Berry,31,176,7.8,245,2018,False,"['Business', 'Self Help', 'Business > Entrepreneurship']",https://www.goodreads.com/book/show/42748677-big-things-have-small-beginnings,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1541899953l/42748677._SY475_.jpg,medium,good
Resolved: 13 Resolutions for LIFE,Orrin Woodward,87,1506,8.9,333,2011,False,"['Leadership', 'Self Help > Personal Development', 'Business']",https://www.goodreads.com/book/show/13030100-resolved,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320904678l/13030100.jpg,medium,very good
LOYAL: A Leader's Guide to Winning Customer and Employee Loyalty,Aaron Painter,5,17,8.4,288,2017,False,"['Business', 'Leadership']",https://www.goodreads.com/book/show/36305907-loyal,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1506403193l/36305907._SX318_.jpg,medium,very good
Measure What Matters,John E. Doerr,1857,21648,8.0,320,2017,False,"['Business', 'Nonfiction', 'Business > Management']",https://www.goodreads.com/book/show/39286958-measure-what-matters,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1521104315l/39286958._SY475_.jpg,medium,very good
A Mind at Play: How Claude Shannon Invented the Information Age,Jimmy Soni,233,1749,8.3,384,2017,False,"['Biography', 'Science', 'Nonfiction']",https://www.goodreads.com/book/show/32919530-a-mind-at-play,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1495386506l/32919530.jpg,medium,very good
Becoming An Authority: Stop Waiting For Permission To Dominate Your Niche And Start Making A Difference,Tara Jacobsen,0,3,10.0,240,2012,False,['Business'],https://www.goodreads.com/book/show/20891229-becoming-an-authority,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1393516487l/20891229.jpg,medium,excellent
The 10x Rule: The Only Difference Between Success and Failure,Grant Cardone,1678,20307,7.9,256,2011,False,"['Business', 'Self Help', 'Nonfiction']",https://www.goodreads.com/book/show/10339170-the-10x-rule,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1310779133l/10339170.jpg,medium,good
Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,1963,52039,8.4,212,2005,False,"['Business', 'Economics > Finance', 'Self Help']",https://www.goodreads.com/book/show/785092.Secrets_of_the_Millionaire_Mind,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347940515l/785092.jpg,medium,very good
"Go for No! Yes is the Destination, No is How You Get There",Richard Fenton,322,5541,8.5,80,2007,False,"['Business', 'Self Help > Personal Development', 'Self Help']",https://www.goodreads.com/book/show/987892.Go_for_No_Yes_is_the_Destination_No_is_How_You_Get_There,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387666640l/987892.jpg,short,very good
The Empty Raincoat: Making Sense of the Future,Charles B. Handy,13,195,8.0,288,1994,False,"['Business', 'Nonfiction', 'Business > Management']",https://www.goodreads.com/book/show/894950.The_Empty_Raincoat,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356446260l/894950.jpg,medium,very good
Security Analysis: Principles and Technique,Benjamin Graham,175,8723,8.5,784,1934,False,"['Economics > Finance', 'Business', 'Nonfiction']",https://www.goodreads.com/book/show/203409.Security_Analysis,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1172646390l/203409._SY475_.jpg,long,very good
The Signal and the Noise: Why So Many Predictions Fail—But Some Don't,Nate Silver,3138,48436,7.9,534,2012,False,"['Nonfiction', 'Science', 'Business']",https://www.goodreads.com/book/show/13588394-the-signal-and-the-noise,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1355058876l/13588394.jpg,long,good
Organizational Transformation and Learning: A Cybernetic Approach to Management,Raul Espejo,0,6,8.3,364,1996,False,['Business > Management'],https://www.goodreads.com/book/show/1780237.Organizational_Transformation_and_Learning,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347624113l/1780237.jpg,medium,very good
Mastering the Rockefeller Habits: What You Must Do to Increase the Value of Your Fast-Growth Firm,Verne Harnish,112,3493,7.8,240,2002,False,"['Business', 'Business > Management', 'Leadership']",https://www.goodreads.com/book/show/6637876-mastering-the-rockefeller-habits,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328334239l/6637876.jpg,medium,good
"The Truth About Markets: Their Genius, Their Limits, Their Follies",John Kay,24,324,7.8,479,2003,False,"['Economics', 'Nonfiction', 'Business']",https://www.goodreads.com/book/show/3132083-the-truth-about-markets,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327720764l/3132083.jpg,long,good
Seeing Organizational Patterns,Robert W. Keidel,1,19,8.4,206,1995,False,"['Business', 'Leadership']",https://www.goodreads.com/book/show/1893488.Seeing_Organizational_Patterns,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1189910044l/1893488._SX318_.jpg,medium,very good
"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,4666,78676,8.4,368,2009,False,"['Business', 'Nonfiction', 'Leadership']",https://www.goodreads.com/book/show/18077903-creativity-inc,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1400863577l/18077903.jpg,medium,very good
The Soul of a New Machine (R),Tracy Kidder,595,7522,8.2,293,1981,False,"['Nonfiction', 'Science > Technology', 'History']",https://www.goodreads.com/book/show/1246309.The_Soul_of_a_New_Machine,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1370824756l/1246309.jpg,medium,very good
The Heart of Enterprise,Stafford Beer,4,50,8.6,582,1979,False,"['Business', 'Nonfiction', 'Science']",https://www.goodreads.com/book/show/1694501.The_Heart_of_Enterprise,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348833034l/1694501.jpg,long,very good
"Getting Real: The Smarter, Faster, Easier Way to Build a Web Application",37 Signals,284,10745,7.9,171,2006,False,"['Business', 'Nonfiction', 'Computer Science > Programming']",https://www.goodreads.com/book/show/447648.Getting_Real,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384467434l/447648.jpg,short,good
The Jetstream of Success,Julian Pencilliah,14,142,7.2,240,2013,True,"['Business', 'Self Help', 'Nonfiction']",https://www.goodreads.com/book/show/18770284-the-jetstream-of-success,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384436234l/18770284.jpg,medium,good
How to Get Rich,Felix Dennis,307,4991,8.2,352,2007,False,"['Business', 'Economics > Finance', 'Nonfiction']",https://www.goodreads.com/book/show/1837402.How_to_Get_Rich,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1356444202l/1837402.jpg,medium,very good
The Essential Drucker: The Best of Sixty Years of Peter Drucker's Essential Writings on Management,Peter F. Drucker,152,10069,8.1,237,2000,False,"['Business', 'Business > Management', 'Leadership']",https://www.goodreads.com/book/show/1087081.The_Essential_Drucker,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348282102l/1087081.jpg,medium,very good
The Art of Possibility,Rosamund Stone Zander,923,9641,7.8,210,2000,False,"['Nonfiction', 'Self Help', 'Business']",https://www.goodreads.com/book/show/85697.The_Art_of_Possibility,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327178963l/85697.jpg,medium,good
Scaling Up: How a Few Companies Make It...and Why the Rest Don't (Rockefeller Habits 2.0),Verne Harnish,234,4576,8.2,246,2014,False,"['Business', 'Business > Entrepreneurship', 'Nonfiction']",https://www.goodreads.com/book/show/22212880-scaling-up,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408931211l/22212880.jpg,medium,very good
"Slack: Getting Past Burnout, Busywork, and the Myth of Total Efficiency",Tom DeMarco,113,1270,8.1,256,2001,False,"['Business', 'Business > Management', 'Nonfiction']",https://www.goodreads.com/book/show/123715.Slack,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320419657l/123715.jpg,medium,very good
The Monk and the Riddle: The Art of Creating a Life While Making a Life,Randy Komisar,173,2581,7.7,181,2000,False,"['Business', 'Business > Entrepreneurship', 'Nonfiction']",https://www.goodreads.com/book/show/864450.The_Monk_and_the_Riddle,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328746422l/864450.jpg,short,good
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",Brené Brown,10401,163822,8.5,287,2012,False,"['Nonfiction', 'Self Help', 'Psychology']",https://www.goodreads.com/book/show/13588356-daring-greatly,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1337110319l/13588356.jpg,medium,very good
80/20 Sales and Marketing: The Definitive Guide to Working Less and Making More,Perry Marshall,115,1488,8.5,240,2013,False,"['Business', 'Nonfiction', 'Buisness']",https://www.goodreads.com/book/show/17214272-80-20-sales-and-marketing,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1360055984l/17214272.jpg,medium,very good
Awesomely Simple: Essential Business Strategies for Turning Ideas Into Action,John Spence,21,178,8.5,213,2009,False,['Business'],https://www.goodreads.com/book/show/8944370-awesomely-simple,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1328351723l/8944370.jpg,medium,very good
"The Good Among the Great: 19 Traits of the Most Admirable, Creative, and Joyous People",Donald Van de Mark,28,140,7.2,268,2011,False,"['Nonfiction', 'Self Help', 'Leadership']",https://www.goodreads.com/book/show/9854645-the-good-among-the-great,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1291850445l/9854645.jpg,medium,good
The One Minute Millionaire: The Enlightened Way to Wealth,Mark Victor Hansen,146,9818,8.1,388,2001,False,"['Business', 'Economics > Finance', 'Nonfiction']",https://www.goodreads.com/book/show/761158.The_One_Minute_Millionaire,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1320417811l/761158.jpg,medium,very good
The Effective Manager,Mark Horstman,120,1328,8.7,208,2016,False,"['Business > Management', 'Business', 'Leadership']",https://www.goodreads.com/book/show/27316166-the-effective-manager,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1466980165l/27316166.jpg,medium,very good
Starting Running Your Own Small Farm Business: Small-Farm Success Stories * Financial Assistance Sources * Marketing Selling Ideas * Business Plan Forms Documents,Sarah Beth Aubrey,5,86,7.9,176,2008,False,"['Horticulture > Gardening', 'Food and Drink > Food', 'Science > Agriculture']",https://www.goodreads.com/book/show/2761357-starting-running-your-own-small-farm-business,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1404580406l/2761357.jpg,short,good
The Four Obsessions of an Extraordinary Executive: The Four Disciplines at the Heart of Making Any Organization World Class,Patrick Lencioni,219,5814,8.1,208,2000,False,"['Business', 'Leadership', 'Business > Management']",https://www.goodreads.com/book/show/49172.The_Four_Obsessions_of_an_Extraordinary_Executive,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348094205l/49172.jpg,medium,very good
Multiple Intelligences: New Horizons in Theory and Practice,Howard Gardner,57,1207,8.0,320,1993,False,"['Education', 'Psychology', 'Nonfiction']",https://www.goodreads.com/book/show/294029.Multiple_Intelligences,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348723175l/294029.jpg,medium,very good
Grouped: How Small Groups of Friends Are the Key to Influence on the Social Web,Paul Adams,64,711,7.9,159,2011,False,"['Business', 'Nonfiction', 'Social']",https://www.goodreads.com/book/show/12906503-grouped,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348112701l/12906503.jpg,short,good
"It's Not How Good You Are, It's How Good You Want To Be",Paul Arden,1234,16206,7.3,128,2003,False,"['Nonfiction', 'Self Help', 'Business']",https://www.goodreads.com/book/show/114737.It_s_Not_How_Good_You_Are_It_s_How_Good_You_Want_To_Be,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1441506303l/114737.jpg,short,good
Turning a Business Around: How to Spot the Warning Signs and Ensure a Business Stays Healthy,Mark Blayney,1,16,8.8,205,2001,False,['Business'],https://www.goodreads.com/book/show/3326861-turning-a-business-around,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347380834l/3326861.jpg,medium,very good
